"Date","Price","Open","High","Low","Vol.","Change %"
"11/11/2025","94.55","94.55","94.55","94.55","","-3.38%"
"11/10/2025","97.86","97.86","97.86","97.86","","-5.13%"
"11/07/2025","103.15","103.15","103.15","103.15","","-0.27%"
"11/06/2025","103.43","103.43","103.43","103.43","","-3.67%"
"11/05/2025","107.37","107.37","107.37","107.37","","-6.12%"
"11/04/2025","114.37","114.37","114.37","114.37","","4.21%"
"11/03/2025","109.75","109.75","109.75","109.75","","10.15%"
"10/31/2025","99.64","99.64","99.64","99.64","","18.06%"
"10/30/2025","84.40","84.40","84.40","84.40","","-5.97%"
"10/29/2025","89.76","89.76","89.76","89.76","","-0.89%"
"10/28/2025","90.57","90.57","90.57","90.57","","6.12%"
"10/27/2025","85.35","85.35","85.35","85.35","","-1.00%"
"10/24/2025","86.21","86.21","86.21","86.21","","0.20%"
"10/23/2025","86.04","86.04","86.04","86.04","","-0.35%"
"10/22/2025","86.34","86.34","86.34","86.34","","-1.08%"
"10/21/2025","87.28","87.28","87.28","87.28","","-2.00%"
"10/20/2025","89.06","89.06","89.06","89.06","","-0.06%"
"10/17/2025","89.11","89.11","89.11","89.11","","-0.49%"
"10/16/2025","89.55","89.55","89.55","89.55","","-1.13%"
"10/15/2025","90.57","90.57","90.57","90.57","","-1.66%"
"10/14/2025","92.10","92.10","92.10","92.10","","1.44%"
"10/13/2025","90.79","90.79","90.79","90.79","","-3.34%"
"10/10/2025","93.93","93.93","93.93","93.93","","-0.70%"
"10/09/2025","94.59","94.59","94.59","94.59","","-1.21%"
"10/08/2025","95.75","95.75","95.75","95.75","","-0.57%"
"10/07/2025","96.30","96.30","96.30","96.30","","-0.69%"
"10/06/2025","96.97","96.97","96.97","96.97","","7.33%"
"10/03/2025","90.35","90.35","90.35","90.35","","8.52%"
"10/02/2025","83.26","83.26","83.26","83.26","","-1.91%"
"10/01/2025","84.88","84.88","84.88","84.88","","-1.37%"
"09/30/2025","86.06","86.06","86.06","86.06","","3.05%"
"09/29/2025","83.51","83.51","83.51","83.51","","0.53%"
"09/26/2025","83.07","83.07","83.07","83.07","","1.30%"
"09/25/2025","82.00","82.00","82.00","82.00","","1.55%"
"09/24/2025","80.75","80.75","80.75","80.75","","1.46%"
"09/23/2025","79.59","79.59","79.59","79.59","","-1.76%"
"09/22/2025","81.02","81.02","81.02","81.02","","-2.63%"
"09/19/2025","83.21","83.21","83.21","83.21","","-0.94%"
"09/18/2025","84.00","84.00","84.00","84.00","","0.84%"
"09/17/2025","83.30","83.30","83.30","83.30","","0.49%"
"09/16/2025","82.89","82.89","82.89","82.89","","0.78%"
"09/15/2025","82.25","82.25","82.25","82.25","","1.91%"
"09/12/2025","80.71","80.71","80.71","80.71","","0.64%"
"09/11/2025","80.20","80.20","80.20","80.20","","-2.75%"
"09/10/2025","82.47","82.47","82.47","82.47","","-2.55%"
"09/09/2025","84.63","84.63","84.63","84.63","","-1.97%"
"09/08/2025","86.33","86.33","86.33","86.33","","-0.15%"
"09/05/2025","86.46","86.46","86.46","86.46","","0.38%"
"09/04/2025","86.13","86.13","86.13","86.13","","0.28%"
"09/03/2025","85.89","85.89","85.89","85.89","","0.22%"
"09/02/2025","85.70","85.70","85.70","85.70","","11.21%"
"08/29/2025","77.06","77.06","77.06","77.06","","0.29%"
"08/28/2025","76.84","76.84","76.84","76.84","","0.25%"
"08/27/2025","76.65","76.65","76.65","76.65","","0.75%"
"08/26/2025","76.08","76.08","76.08","76.08","","0.42%"
"08/25/2025","75.76","75.76","75.76","75.76","","0.00%"
"08/22/2025","75.76","75.76","75.76","75.76","","0.53%"
"08/21/2025","75.36","75.36","75.36","75.36","","0.15%"
"08/20/2025","75.25","75.25","75.25","75.25","","0.75%"
"08/19/2025","74.69","74.69","74.69","74.69","","-0.21%"
"08/18/2025","74.85","74.85","74.85","74.85","","0.21%"
"08/15/2025","74.69","74.69","74.69","74.69","","-0.74%"
"08/14/2025","75.25","75.25","75.25","75.25","","-0.49%"
"08/13/2025","75.62","75.62","75.62","75.62","","-1.91%"
"08/12/2025","77.09","77.09","77.09","77.09","","-0.55%"
"08/11/2025","77.52","77.52","77.52","77.52","","0.49%"
"08/08/2025","77.14","77.14","77.14","77.14","","-0.18%"
"08/07/2025","77.28","77.28","77.28","77.28","","-0.77%"
"08/06/2025","77.88","77.88","77.88","77.88","","-1.07%"
"08/05/2025","78.72","78.72","78.72","78.72","","2.02%"
"08/04/2025","77.16","77.16","77.16","77.16","","-1.72%"
"08/01/2025","78.51","78.51","78.51","78.51","","-3.79%"
"07/31/2025","81.60","81.60","81.60","81.60","","-7.06%"
"07/30/2025","87.80","87.80","87.80","87.80","","0.21%"
"07/29/2025","87.62","87.62","87.62","87.62","","-0.41%"
"07/28/2025","87.98","87.98","87.98","87.98","","0.55%"
"07/25/2025","87.50","87.50","87.50","87.50","","0.40%"
"07/24/2025","87.15","87.15","87.15","87.15","","0.48%"
"07/23/2025","86.73","86.73","86.73","86.73","","-0.20%"
"07/22/2025","86.90","86.90","86.90","86.90","","1.36%"
"07/21/2025","85.73","85.73","85.73","85.73","","1.67%"
"07/18/2025","84.32","84.32","84.32","84.32","","0.08%"
"07/17/2025","84.25","84.25","84.25","84.25","","-1.03%"
"07/16/2025","85.13","85.13","85.13","85.13","","0.33%"
"07/15/2025","84.85","84.85","84.85","84.85","","-1.34%"
"07/14/2025","86.00","86.00","86.00","86.00","","0.00%"
"07/11/2025","86.00","86.00","86.00","86.00","","-0.89%"
"07/10/2025","86.77","86.77","86.77","86.77","","-0.75%"
"07/09/2025","87.43","87.43","87.43","87.43","","-1.40%"
"07/08/2025","88.67","88.67","88.67","88.67","","0.61%"
"07/07/2025","88.13","88.13","88.13","88.13","","4.92%"
"07/03/2025","84.00","84.00","84.00","84.00","","-1.78%"
"07/02/2025","85.52","85.52","85.52","85.52","","3.54%"
"07/01/2025","82.60","82.60","82.60","82.60","","5.13%"
"06/30/2025","78.57","78.57","78.57","78.57","","23.40%"
"06/27/2025","63.67","63.67","63.67","63.67","","-0.87%"
"06/26/2025","64.23","64.23","64.23","64.23","","0.34%"
"06/25/2025","64.01","64.01","64.01","64.01","","1.52%"
"06/24/2025","63.05","63.05","63.05","63.05","","1.33%"
"06/23/2025","62.22","62.22","62.22","62.22","","-1.88%"
"06/20/2025","63.41","63.41","63.41","63.41","","-0.77%"
"06/18/2025","63.90","63.90","63.90","63.90","","-3.27%"
"06/17/2025","66.06","66.06","66.06","66.06","","-0.09%"
"06/16/2025","66.12","66.12","66.12","66.12","","0.00%"
"06/13/2025","66.12","66.12","66.12","66.12","","1.12%"
"06/12/2025","65.39","65.39","65.39","65.39","","-2.02%"
"06/11/2025","66.74","66.74","66.74","66.74","","0.35%"
"06/10/2025","66.51","66.51","66.51","66.51","","-1.32%"
"06/09/2025","67.40","67.40","67.40","67.40","","-4.42%"
"06/06/2025","70.52","70.52","70.52","70.52","","2.89%"
"06/05/2025","68.54","68.54","68.54","68.54","","-0.42%"
"06/04/2025","68.83","68.83","68.83","68.83","","0.61%"
"06/03/2025","68.41","68.41","68.41","68.41","","-0.48%"
"06/02/2025","68.74","68.74","68.74","68.74","","2.08%"
"05/30/2025","67.34","67.34","67.34","67.34","","-0.03%"
"05/29/2025","67.36","67.36","67.36","67.36","","0.18%"
"05/28/2025","67.24","67.24","67.24","67.24","","-0.53%"
"05/27/2025","67.60","67.60","67.60","67.60","","0.91%"
"05/23/2025","66.99","66.99","66.99","66.99","","-3.29%"
"05/22/2025","69.27","69.27","69.27","69.27","","0.03%"
"05/21/2025","69.25","69.25","69.25","69.25","","0.25%"
"05/20/2025","69.08","69.08","69.08","69.08","","-0.45%"
"05/19/2025","69.39","69.39","69.39","69.39","","-1.71%"
"05/16/2025","70.60","70.60","70.60","70.60","","-1.08%"
"05/15/2025","71.37","71.37","71.37","71.37","","3.37%"
"05/14/2025","69.04","69.04","69.04","69.04","","-0.46%"
"05/13/2025","69.36","69.36","69.36","69.36","","-1.98%"
"05/12/2025","70.76","70.76","70.76","70.76","","5.36%"
"05/09/2025","67.16","67.16","67.16","67.16","","-1.63%"
"05/08/2025","68.27","68.27","68.27","68.27","","-2.50%"
"05/07/2025","70.02","70.02","70.02","70.02","","-1.02%"
"05/06/2025","70.74","70.74","70.74","70.74","","2.63%"
"05/05/2025","68.93","68.93","68.93","68.93","","0.00%"
"05/02/2025","68.93","68.93","68.93","68.93","","3.55%"
"05/01/2025","66.57","66.57","66.57","66.57","","0.00%"
"04/30/2025","66.57","66.57","66.57","66.57","","-14.59%"
"04/29/2025","77.94","77.94","77.94","77.94","","-0.10%"
"04/28/2025","78.02","78.02","78.02","78.02","","-0.84%"
"04/25/2025","78.68","78.68","78.68","78.68","","-1.24%"
"04/24/2025","79.67","79.67","79.67","79.67","","0.01%"
"04/23/2025","79.66","79.66","79.66","79.66","","0.28%"
"04/22/2025","79.44","79.44","79.44","79.44","","5.55%"
"04/21/2025","75.26","75.26","75.26","75.26","","0.00%"
"04/17/2025","75.26","75.26","75.26","75.26","","0.15%"
"04/16/2025","75.15","75.15","75.15","75.15","","3.87%"
"04/15/2025","72.35","72.35","72.35","72.35","","-0.37%"
"04/14/2025","72.62","72.62","72.62","72.62","","6.08%"
"04/11/2025","68.46","68.46","68.46","68.46","","1.75%"
"04/04/2025","67.28","67.28","67.28","67.28","","-1.81%"
"04/03/2025","68.52","68.52","68.52","68.52","","-4.63%"
"04/02/2025","71.85","71.85","71.85","71.85","","-3.70%"
"04/01/2025","74.61","74.61","74.61","74.61","","-2.56%"
"03/31/2025","76.57","76.57","76.57","76.57","","-18.70%"
"03/28/2025","94.18","94.18","94.18","94.18","","-0.44%"
"03/27/2025","94.60","94.60","94.60","94.60","","-0.59%"
"03/26/2025","95.16","95.16","95.16","95.16","","0.87%"
"03/25/2025","94.34","94.34","94.34","94.34","","-0.52%"
"03/24/2025","94.83","94.83","94.83","94.83","","-0.67%"
"03/21/2025","95.47","95.47","95.47","95.47","","-0.55%"
"03/20/2025","96.00","96.00","96.00","96.00","","0.37%"
"03/14/2025","95.65","95.65","95.65","95.65","","1.25%"
"03/13/2025","94.47","94.47","94.47","94.47","","1.77%"
"03/12/2025","92.83","92.83","92.83","92.83","","-1.09%"
"03/11/2025","93.85","93.85","93.85","93.85","","-0.91%"
"03/10/2025","94.71","94.71","94.71","94.71","","0.45%"
"03/07/2025","94.29","94.29","94.29","94.29","","0.67%"
"03/06/2025","93.66","93.66","93.66","93.66","","-2.07%"
"03/05/2025","95.64","95.64","95.64","95.64","","-1.01%"
"03/04/2025","96.62","96.62","96.62","96.62","","-0.77%"
"03/03/2025","97.37","97.37","97.37","97.37","","6.33%"
"02/28/2025","91.57","91.57","91.57","91.57","","-28.75%"
"02/27/2025","128.52","128.52","128.52","128.52","","0.03%"
"02/26/2025","128.48","128.48","128.48","128.48","","-0.29%"
"02/25/2025","128.85","128.85","128.85","128.85","","-0.05%"
"02/24/2025","128.92","128.92","128.92","128.92","","-0.13%"
"02/21/2025","129.09","129.09","129.09","129.09","","3.12%"
"02/20/2025","125.19","125.19","125.19","125.19","","1.17%"
"02/19/2025","123.74","123.74","123.74","123.74","","-0.23%"
"02/18/2025","124.03","124.03","124.03","124.03","","-2.45%"
"02/14/2025","127.15","127.15","127.15","127.15","","-3.30%"
"02/13/2025","131.49","131.49","131.49","131.49","","-1.76%"
"02/12/2025","133.85","133.85","133.85","133.85","","0.19%"
"02/11/2025","133.59","133.59","133.59","133.59","","-1.07%"
"02/10/2025","135.04","135.04","135.04","135.04","","3.49%"
"02/07/2025","130.49","130.49","130.49","130.49","","1.24%"
"02/06/2025","128.89","128.89","128.89","128.89","","1.23%"
"02/05/2025","127.32","127.32","127.32","127.32","","1.53%"
"02/04/2025","125.40","125.40","125.40","125.40","","-2.23%"
"02/03/2025","128.26","128.26","128.26","128.26","","-2.89%"
"01/31/2025","132.08","132.08","132.08","132.08","","15.72%"
"01/30/2025","114.14","114.14","114.14","114.14","","0.06%"
"01/29/2025","114.07","114.07","114.07","114.07","","0.00%"
"01/28/2025","114.07","114.07","114.07","114.07","","0.14%"
"01/27/2025","113.91","113.91","113.91","113.91","","-2.01%"
"01/24/2025","116.25","116.25","116.25","116.25","","0.28%"
"01/23/2025","115.92","115.92","115.92","115.92","","1.76%"
"01/22/2025","113.91","113.91","113.91","113.91","","-0.07%"
"01/21/2025","113.99","113.99","113.99","113.99","","0.14%"
"01/17/2025","113.83","113.83","113.83","113.83","","1.49%"
"01/16/2025","112.16","112.16","112.16","112.16","","-4.40%"
"01/15/2025","117.32","117.32","117.32","117.32","","3.20%"
"01/14/2025","113.68","113.68","113.68","113.68","","0.93%"
"01/13/2025","112.63","112.63","112.63","112.63","","19.39%"
"01/10/2025","94.34","94.34","94.34","94.34","","-5.11%"
"01/09/2025","99.42","99.42","99.42","99.42","","-4.09%"
"01/08/2025","103.66","103.66","103.66","103.66","","-3.00%"
"01/07/2025","106.87","106.87","106.87","106.87","","-1.46%"
"01/06/2025","108.45","108.45","108.45","108.45","","-3.64%"
"01/03/2025","112.55","112.55","112.55","112.55","","-2.06%"
"01/02/2025","114.92","114.92","114.92","114.92","","-0.70%"
"12/31/2024","115.73","115.73","115.73","115.73","","6.84%"
"12/30/2024","108.32","108.32","108.32","108.32","","1.65%"
"12/27/2024","106.56","106.56","106.56","106.56","","-0.53%"
"12/26/2024","107.13","107.13","107.13","107.13","","-0.02%"
"12/24/2024","107.15","107.15","107.15","107.15","","0.27%"
"12/23/2024","106.86","106.86","106.86","106.86","","1.19%"
"12/20/2024","105.60","105.60","105.60","105.60","","-0.38%"
