time,price,open,high,low,vol.,raw_px_change,price_change,fm_d1,fm_d5,fm_trend_d5,fm_z_20,day_of_week,day_of_month,da_DE-LU,da_FR,da_de_roll7_DE-LU,da_de_roll7_FR,da_de_roll28_DE-LU,da_de_roll28_FR,da_de_trend_xover_DE-LU,da_de_trend_xover_FR,da_de_trend_xover_ramp_DE-LU,da_de_trend_xover_ramp_FR,solar_DE-LU,solar_FR,wind_onshore_DE-LU,wind_onshore_FR,wind_ramp_DE-LU,wind_ramp_FR,solar_ramp_DE-LU,solar_ramp_FR,total_ramp_DE-LU,total_ramp_FR
2023-01-03,142.38,142.38,142.38,142.38,,-0.4341,,,,,,1,3,163.06,163.06,,,,,,,,,-118309.8,-12368.0,-118309.8,-12368.0,,-9985.3,,-9985.3,,-19970.6
2023-01-04,126.42,126.42,126.42,126.42,,-0.1121,-15.96,,,,,2,4,80.22,105.07,,,,,,,,,-255975.4,-30440.0,-255975.4,-30440.0,-137665.6,-18072.0,-137665.6,-18072.0,-275331.2,-36144.0
2023-01-05,130.66,130.66,130.66,130.66,,0.0335,4.24,-15.96,,,,3,5,151.03,151.03,,,,,,,,,-151186.5,-19172.0,-151186.5,-19172.0,104788.9,11268.0,104788.9,11268.0,209577.8,22536.0
2023-01-06,124.81,124.81,124.81,124.81,,-0.0448,-5.85,4.24,,,,4,6,119.71,129.22,,,,,,,,,-166064.4,-19548.0,-166064.4,-19548.0,-14877.9,-376.0,-14877.9,-376.0,-29755.8,-752.0
2023-01-09,121.01,121.01,121.01,121.01,,-0.0304,-3.8,-5.85,,,,0,9,143.57,136.58,121.55142857,125.78,,,,,,,-166702.0,-20615.0,-166702.0,-20615.0,58297.0,12178.0,58297.0,12178.0,116594.0,24356.0
2023-01-10,118.16,118.16,118.16,118.16,,-0.0236,-2.85,-3.8,,,,1,10,145.41,146.48,119.03,123.41142857,,,,,,,-189461.3,-23706.0,-189461.3,-23706.0,-22759.3,-3091.0,-22759.3,-3091.0,-45518.6,-6182.0
2023-01-11,117.64,117.64,117.64,117.64,,-0.0044,-0.52,-2.85,-15.96,,,2,11,115.74,116.81,124.10428571,125.08857143,,,,,,,-182652.8,-26868.0,-182652.8,-26868.0,6808.5,-3162.0,6808.5,-3162.0,13617.0,-6324.0
2023-01-12,124.68,124.68,124.68,124.68,,0.0598,7.04,-0.52,4.24,,,3,12,88.2,100.68,115.12857143,117.89571429,,,,,,,-181617.0,-27587.0,-181617.0,-27587.0,1035.8,-719.0,1035.8,-719.0,2071.6,-1438.0
2023-01-13,123.71,123.71,123.71,123.71,,-0.0078,-0.97,7.04,-5.85,,,4,13,73.55,77.96,108.53428571,110.57285714,,,,,,,-169115.2,-20355.0,-169115.2,-20355.0,12501.8,7232.0,12501.8,7232.0,25003.6,14464.0
2023-01-17,119.98,119.98,119.98,119.98,,-0.0302,-3.73,-0.97,-3.8,,,1,17,146.05,170.15,82.64142857,98.58142857,,,,,,,-159702.7,-18008.0,-159702.7,-18008.0,-97664.5,-6700.0,-97664.5,-6700.0,-195329.0,-13400.0
